"Year","Month","Geography_Type","Strata","Strata_Name","Count","Annotation_Code","Annotation_Desc","Data_Revision_Date"
1971,06,Occurrence,Total Population,Total Population,27235,,,10/30/2024
1971,06,Residence,Total Population,Total Population,27222,,,10/30/2024
1971,07,Occurrence,Total Population,Total Population,28651,,,10/30/2024
1971,07,Residence,Total Population,Total Population,28654,,,10/30/2024
1971,08,Occurrence,Total Population,Total Population,28524,,,10/30/2024
1971,08,Residence,Total Population,Total Population,28519,,,10/30/2024
1971,09,Occurrence,Total Population,Total Population,28093,,,10/30/2024
1971,09,Residence,Total Population,Total Population,28109,,,10/30/2024
1971,10,Occurrence,Total Population,Total Population,27241,,,10/30/2024
1971,10,Residence,Total Population,Total Population,27239,,,10/30/2024
1971,11,Occurrence,Total Population,Total Population,25305,,,10/30/2024
1971,11,Residence,Total Population,Total Population,25292,,,10/30/2024
1971,12,Occurrence,Total Population,Total Population,26127,,,10/30/2024
1971,12,Residence,Total Population,Total Population,26123,,,10/30/2024
1972,01,Occurrence,Total Population,Total Population,24915,,,10/30/2024
1972,01,Residence,Total Population,Total Population,24899,,,10/30/2024
1972,02,Occurrence,Total Population,Total Population,24093,,,10/30/2024
1972,02,Residence,Total Population,Total Population,24107,,,10/30/2024
1972,03,Occurrence,Total Population,Total Population,25751,,,10/30/2024
1972,03,Residence,Total Population,Total Population,25731,,,10/30/2024
1972,04,Occurrence,Total Population,Total Population,24420,,,10/30/2024
1972,04,Residence,Total Population,Total Population,24420,,,10/30/2024
1972,05,Occurrence,Total Population,Total Population,25268,,,10/30/2024
1972,05,Residence,Total Population,Total Population,25242,,,10/30/2024
1972,06,Occurrence,Total Population,Total Population,24729,,,10/30/2024
1972,06,Residence,Total Population,Total Population,24713,,,10/30/2024
1972,07,Occurrence,Total Population,Total Population,26734,,,10/30/2024
1972,07,Residence,Total Population,Total Population,26741,,,10/30/2024
1972,08,Occurrence,Total Population,Total Population,27455,,,10/30/2024
1972,08,Residence,Total Population,Total Population,27461,,,10/30/2024
1972,09,Occurrence,Total Population,Total Population,26505,,,10/30/2024
1972,09,Residence,Total Population,Total Population,26470,,,10/30/2024
1972,10,Occurrence,Total Population,Total Population,26148,,,10/30/2024
1972,10,Residence,Total Population,Total Population,26112,,,10/30/2024
1972,11,Occurrence,Total Population,Total Population,25161,,,10/30/2024
1972,11,Residence,Total Population,Total Population,25139,,,10/30/2024
